"cinema_id","name","address","city","phone","screens","features","hours","image_url"
1,CGV Vincom Center,"72 Lê Thánh Tôn, Quận 1",TP. Hồ Chí Minh,(028) 3827 1717,8,"{IMAX,4DX,Premium}","8:00 - 24:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
2,CGV Landmark 81,"720A Điện Biên Phủ, Bình Thạnh",TP. Hồ Chí Minh,(028) 6272 1515,12,"{IMAX,4DX,ScreenX}","8:00 - 24:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
3,CGV Aeon Mall,"30 Bờ Bao Tân Thắng, Tân Phú",TP. Hồ Chí Minh,(028) 3815 6290,10,"{4DX,""Dolby Atmos""}","9:00 - 23:30",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
4,CGV Crescent Mall,"101 Tôn Dật Tiên, Quận 7",TP. Hồ Chí Minh,(028) 5411 7788,6,"{Premium,""Dolby Atmos""}","8:30 - 23:00",https://images.unsplash.com/photo-1667858329757-95becd82346e
5,CGV Saigon Center,"65 Lê Lợi, Quận 1",TP. Hồ Chí Minh,(028) 3822 4440,7,"{Premium,""Dolby Atmos""}","9:00 - 23:30",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
6,CGV Parkson Hùng Vương,"126 Hồng Bàng, Quận 5",TP. Hồ Chí Minh,(028) 3835 7274,5,"{""Tiêu Chuẩn"",Premium}","8:30 - 23:00",https://images.unsplash.com/photo-1548867688/231911e4ba3c
7,CGV Vincom Bà Triệu,"191 Bà Triệu, Hai Bà Trưng",Hà Nội,(024) 3974 3333,9,"{IMAX,Premium,""Dolby Atmos""}","8:00 - 24:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
8,CGV Aeon Long Biên,"27 Cổ Linh, Long Biên",Hà Nội,(024) 3877 7200,8,"{4DX,Premium}","9:00 - 23:30",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
9,CGV Vincom Mega Mall,"458 Minh Khai, Hai Bà Trưng",Hà Nội,(024) 3974 3344,10,"{IMAX,4DX,Premium}","8:00 - 24:00",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
10,CGV Royal City,"72A Nguyễn Trãi, Thanh Xuân",Hà Nội,(024) 3974 3888,11,"{IMAX,Premium,""Dolby Atmos""}","8:00 - 23:30",https://images.unsplash.com/photo-1667858329757-95becd82346e
11,CGV Vincom Đà Nẵng,"910A Ngô Quyền, Sơn Trà",Đà Nẵng,(0236) 3788 999,7,"{Premium,""Dolby Atmos""}","9:00 - 23:30",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
12,CGV Lotte Mart,"6 Nại Nam, Hải Châu",Đà Nẵng,(0236) 3566 777,6,"{4DX,Premium}","8:30 - 23:00",https://images.unsplash.com/photo-1548867688/231911e4ba3c
13,CGV Vincom Xuân Khánh,"209 Đường 30/4, Ninh Kiều",Cần Thơ,(0292) 3766 888,6,"{Premium,""Dolby Atmos""}","9:00 - 23:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
14,CGV Sense City,"01 Ngô Quyền, Ninh Kiều",Cần Thơ,(0292) 3822 333,5,{Premium},"8:30 - 22:30",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
15,CGV Vincom Plaza,"Lê Thánh Tông, Hồng Bàng",Hải Phòng,(0225) 3123 456,7,"{Premium,""Dolby Atmos""}","9:00 - 23:30",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
16,CGV Aeon Mall Hải Phòng,"Số 10, Lê Chân",Hải Phòng,(0225) 3234 567,8,"{4DX,Premium}","8:30 - 23:00",https://images.unsplash.com/photo-1667858329757-95becd82346e
17,CGV Vincom Hải Phòng,"Trần Phú, Ngô Quyền",Hải Phòng,(0225) 3345 678,6,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
18,CGV Bien Hoa,"Trung Tâm, Biên Hòa",Biên Hòa,(0251) 3888 999,6,"{Premium,""Dolby Atmos""}","9:00 - 23:00",https://images.unsplash.com/photo-1548867688/231911e4ba3c
19,CGV Vincom Biên Hòa,"Quốc Lộ 1K, Biên Hòa",Biên Hòa,(0251) 3777 888,7,"{4DX,Premium}","8:30 - 23:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
20,CGV Nha Trang Center,"Trung Tâm, Nha Trang",Nha Trang,(0258) 3888 777,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
21,CGV Vincom Nha Trang,"Trần Phú, Nha Trang",Nha Trang,(0258) 3777 666,6,"{Premium,""Dolby Atmos""}","8:30 - 23:00",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
